time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348071872246,0.00667947,0.0167193,1.48297,0.113793,-0.12485,-0.242575,0.0170204,-0.0224704,-0.0523835,0.00140884,-0.00326124,-0.00535631,
1468348071882293,0.00652103,0.0167645,1.48165,0.113793,-0.0931838,-0.242575,0.0181583,-0.0235606,-0.0548093,0.00158474,-0.00349139,-0.00589227,
1468348071892330,0.00628182,0.0168894,1.4802,0.113793,-0.06593,-0.200912,0.0192962,-0.0243562,-0.0570267,0.00177201,-0.00373098,-0.00645145,
1468348071902367,0.0062637,0.0169056,1.47763,0.113793,-0.06593,-0.136837,0.0204341,-0.0250155,-0.0587155,0.00197066,-0.00397784,-0.00703016,
1468348071912404,0.00614439,0.0169821,1.47444,0.0881491,-0.06593,-0.0686469,0.0214438,-0.0256748,-0.0597429,0.00218005,-0.00423129,-0.00762246,
1468348071922453,0.00613785,0.0170292,1.4696,0.0881491,-0.06593,0,0.0223253,-0.0263341,-0.0600861,0.0023989,-0.00449133,-0.0082216,
1468348071932502,0.00608408,0.0170829,1.46419,0.0881491,-0.06593,0,0.0232068,-0.0269934,-0.0600861,0.00262656,-0.00475797,-0.00882246,
1468348071942538,0.00609984,0.0171808,1.45599,0.0881491,-0.06593,0,0.0240883,-0.0276527,-0.0600861,0.00286303,-0.0050312,-0.00942332,
1468348071952583,0.0059759,0.0172439,1.44926,0.0324843,-0.0998628,0,0.0246915,-0.0284816,-0.0600861,0.00310693,-0.00531187,-0.0100242,
1468348071962621,0.00590487,0.0172642,1.44356,0.073718,-0.0998628,0,0.0252225,-0.0294803,-0.0600861,0.0033565,-0.00560168,-0.010625,
1468348071972657,0.00552741,0.0171922,1.44224,0.073718,-0.0162309,-0.0293034,0.0259597,-0.0300607,-0.0602326,0.00361241,-0.00589939,-0.0112266,
1468348071982692,0.00390144,0.0177499,1.44642,0.107253,-0.0162309,-0.0622436,0.0268645,-0.030223,-0.0606904,0.00387653,-0.0062008,-0.0118313,
1468348071992730,0.00388491,0.0179271,1.44683,0.107036,-0.0540642,-0.108066,0.027936,-0.0305745,-0.0615419,0.00415054,-0.00650479,-0.0124424,
1468348072002765,0.00500478,0.0173769,1.44761,0.107036,-0.0540642,-0.108066,0.0290063,-0.0311152,-0.0626226,0.00443525,-0.00681324,-0.0130632,
