time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348629989344,-0.0754313,0.00521628,1.37835,-0.00236829,-0.0928261,0.420592,0.0101448,-0.0801168,0.0797832,0.0202362,-0.0203908,0.011981,
1468348629999383,-0.0728409,0.00286798,1.37586,-0.00236829,-0.034786,0.539663,0.0101211,-0.0807549,0.0845844,0.0203375,-0.0211952,0.0128029,
1468348630009420,-0.070949,0.00102766,1.37366,-0.00236829,-0.155052,0.632905,0.0100975,-0.081704,0.0904473,0.0204386,-0.0220075,0.013678,
1468348630019493,-0.0686023,-3.21884e-05,1.37127,0.0360243,-0.202922,0.365114,0.0102657,-0.0834939,0.0954374,0.0205404,-0.0228335,0.0146074,
1468348630029536,-0.0660627,9.3855e-05,1.36933,0.0360243,-0.202922,0.451079,0.010626,-0.0855231,0.0995183,0.0206449,-0.0236785,0.0155822,
1468348630039571,-0.0629575,0.00173773,1.3672,0.00322556,-0.105737,0.427497,0.0108222,-0.0870664,0.103911,0.0207521,-0.0245415,0.0165994,
1468348630049608,-0.0595767,0.00462832,1.36481,0.04889,-0.0904028,0.54004,0.0110828,-0.0880471,0.108749,0.0208616,-0.0254171,0.0176627,
1468348630059645,-0.055738,0.00768015,1.36232,0.0858731,-0.135492,0.556353,0.0117566,-0.0891766,0.114231,0.0209758,-0.0263032,0.0187776,
1468348630069681,-0.0519413,0.00949961,1.35963,0.05343,-0.0992368,0.412956,0.0124531,-0.0903502,0.119077,0.0210969,-0.0272008,0.0199441,
1468348630079719,-0.0550374,0.0122724,1.35659,0.05343,-0.0992368,0.412956,0.0129874,-0.0913426,0.123207,0.0212241,-0.0281093,0.0211555,
1468348630089760,-0.057891,0.0123492,1.35245,0.05343,-0.0966909,0.438026,0.0135217,-0.0923222,0.127462,0.0213566,-0.0290276,0.0224089,
1468348630099798,-0.0596268,0.0110927,1.35019,0.0913795,-0.0966909,0.570547,0.0142458,-0.0932892,0.132505,0.0214955,-0.0299557,0.0237087,
1468348630109836,-0.0611258,0.00813602,1.34646,0.11884,-0.098733,0.615926,0.0152969,-0.0942663,0.138437,0.0216432,-0.0308934,0.0250634,
