time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032836491,-0.00976562,0.0253906,0.922852,0.004392,0.048312,0.975024,0.00393438,0.0126906,0.985852,-0.000208,0.023212,0.979324,0,0,0,0,0,0,0,0,0,
1468176032842568,-0.0166016,0.0131836,0.920898,0.005124,0.049044,0.9699,-0.00290156,0.000483594,0.983898,0.000524,0.023944,0.9742,0,0,0,0,0,0,0,0,0,
1468176032848626,-0.0107422,0.00830078,0.92627,0.002928,0.04758,0.972096,0.00295781,-0.00439922,0.98927,-0.001672,0.02248,0.976396,0,0,0,0,0,0,0,0,0,
1468176032854690,-0.00634766,0.0180664,0.929199,0.002928,0.050508,0.97722,0.00735234,0.00536641,0.992199,-0.001672,0.025408,0.98152,0,0,0,0,0,0,0,0,0,
1468176032862201,-0.015625,0.0180664,0.92627,0.002928,0.045384,0.98088,-0.001925,0.00536641,0.98927,-0.001672,0.020284,0.98518,0,0,0,0,0,0,0,0,0,
1468176032870248,-0.0112305,0.0219727,0.925293,0.00732,0.046116,0.983076,0.00246953,0.00927266,0.988293,0.00272,0.021016,0.987376,0,0,0,0,0,0,0,0,0,
1468176032876826,-0.00732422,0.0234375,0.91748,0.004392,0.050508,0.97356,0.00637578,0.0107375,0.98048,-0.000208,0.025408,0.97786,0,0,0,0,0,0,0,0,0,
1468176032882884,-0.0185547,0.0136719,0.926758,0.002196,0.035868,0.978684,-0.00485469,0.000971876,0.989758,-0.002404,0.010768,0.982984,0,0,0,0,0,0,0,0,0,
1468176032888944,-0.0234375,0.0253906,0.928711,-0.00366,0.050508,0.967704,-0.0097375,0.0126906,0.991711,-0.00826,0.025408,0.972004,0,0,0,0,0,0,0,0,0,
1468176032895002,-0.0170898,0.015625,0.923828,0.001464,0.042456,0.972828,-0.00338984,0.002925,0.986828,-0.003136,0.017356,0.977128,0,0,0,0,0,0,0,0,0,
1468176032901060,-0.015625,0.0185547,0.922852,-0.002928,0.049044,0.975024,-0.001925,0.00585469,0.985852,-0.007528,0.023944,0.979324,0,0,0,0,0,0,0,0,0,
1468176032907123,-0.0209961,0.0161133,0.927734,-0.00366,0.046848,0.979416,-0.00729609,0.00341328,0.990734,-0.00826,0.021748,0.983716,0,0,0,0,0,0,0,0,0,
1468176032913204,-0.012207,0.0244141,0.916504,-0,0.044652,0.976488,0.00149297,0.0117141,0.979504,-0.0046,0.019552,0.980788,0,0,0,0,0,0,0,0,0,
1468176032922015,-0.00830078,0.0234375,0.924805,-0,0.04758,0.975756,0.00539922,0.0107375,0.987805,-0.0046,0.02248,0.980056,0,0,0,0,0,0,0,0,0,
1468176032928516,-0.00878906,0.0209961,0.914551,0.000732,0.053436,0.97356,0.00491094,0.00829609,0.977551,-0.003868,0.028336,0.97786,0,0,0,0,0,0,0,0,0,
