time, attx, atty, attz, accx, accy, accz, acc_raw1x, acc_raw1y, acc_raw1z, acc_raw2x, acc_raw2y, acc_raw2z, velx, vely, velz, vel_raw1x, vel_raw1y, vel_raw1z, vel_raw2x, vel_raw2y, vel_raw2z, locx, locy, locz, loc_raw1x, loc_raw1y, loc_raw1z, loc_raw2x, loc_raw2y, loc_raw2z,
1468353515859597,0.0138369,0.0269265,1.55532,0,0,0,0.172686,-0.00952756,-0.10299,0.0664031,-0.137802,-0.0304448,0,0,0,24.1209,-14.9052,-11.5659,11.1199,-33.8508,-6.86796,0,0,0,9.11954,-6.26273,-3.8683,3.67353,-13.3894,-2.76771,
1468353515869634,0.0138553,0.0269065,1.55614,0,0,0,0.123109,-0.119455,-0.118512,0.115043,-0.260868,-0.0350362,0,0,0,24.4167,-15.0342,-11.7874,11.3013,-34.2495,-6.93344,0,0,0,9.36223,-6.41243,-3.98507,3.78564,-13.7299,-2.83672,
1468353515879674,0.0138554,0.0269083,1.55696,0,0,0,0.232709,-0.12671,-0.158199,0.108969,-0.182111,-0.0514122,0,0,0,24.7725,-15.2803,-12.0641,11.5253,-34.6925,-7.01989,0,0,0,9.60818,-6.564,-4.10433,3.89977,-14.0746,-2.90648,
1468353515889711,0.0138569,0.0268961,1.55777,0,0,0,0.195368,-0.0358264,-0.184047,0.153985,-0.14435,0.0403016,0,0,0,25.2006,-15.4429,-12.4064,11.7883,-35.0189,-7.031,0,0,0,9.85804,-6.71762,-4.22668,4.01634,-14.4231,-2.97674,
1468353515899750,0.0138685,0.0269106,1.55858,0,0,0,0.118963,-0.127989,-0.0942582,0.0875698,-0.140126,-0.109675,0,0,0,25.5149,-15.6067,-12.6847,12.0298,-35.3034,-7.10038,0,0,0,10.1116,-6.87287,-4.35214,4.13543,-14.7747,-3.04739,
1468353515909787,0.01387,0.0269076,1.55935,0,0,0,0.0618075,-0.0707075,-0.128511,0.116515,-0.217437,-0.0361965,0,0,0,25.6957,-15.8054,-12.9075,12.2339,-35.661,-7.24625,0,0,0,10.3677,-7.02993,-4.4801,4.25675,-15.1296,-3.11913,
1468353515919825,0.0138854,0.026912,1.56011,0,0,0,0.201815,-0.131304,-0.0138958,0.110087,-0.195317,-0.0223276,0,0,0,25.9593,-16.0074,-13.0499,12.4605,-36.0737,-7.30477,0,0,0,10.6259,-7.18899,-4.60988,4.38022,-15.4882,-3.19188,
1468353515929865,0.0138943,0.0269091,1.56073,0,0,0,0.115231,-0.075049,-0.0956126,0.0667097,-0.216931,-0.0426777,0,0,0,26.2764,-16.2137,-13.1594,12.6373,-36.486,-7.36978,0,0,0,10.8871,-7.3501,-4.74093,4.50571,-15.851,-3.26526,
1468353515939903,0.0139113,0.0268928,1.56143,0,0,0,0.253857,-0.0302815,-0.161054,0.0603859,-0.15957,-0.0441267,0,0,0,26.6455,-16.3191,-13.4161,12.7644,-36.8625,-7.45658,0,0,0,11.1517,-7.51276,-4.87381,4.63272,-16.2178,-3.33939,
1468353515949940,0.0139289,0.0269074,1.56211,0,0,0,0.176569,-0.0685934,-0.197251,0.110824,-0.181178,-0.0370698,0,0,0,27.0759,-16.4179,-13.7744,12.9356,-37.2032,-7.53778,0,0,0,11.4203,-7.67645,-5.00976,4.76122,-16.5881,-3.41436,
